idx,Maladie,Symptomes,raisons,Tests et procédures,Médicaments courants
192,Otite moyenne chronique,"['Redness in ear', 'Ear pain', 'Nasal congestion', 'Toux', 'Audience diminuée', 'Fever', 'Fluid in ear', 'Plugged feeling in ear', 'Pulling at ears', 'Allergical reaction', 'Painful sinus', 'Bleeding from ear']","Cefdinir,","[«Diagnostic et traitement otologique et otologique», «Autres procédures diagnostiques (entrevue; évaluation; consultation)», «Excision (suppression)», «Tonsillectomie et/ou adénoïdectomie», «Procédures diagnostiques sur l'oreille», «Autres procédures thérapeutiques OU sur le nez; bouche et pharynx», «Procédures diagnostiques sur le nez; bouche et pharynx»]","['Ofloxacine', 'Cefdinir', 'Sevoflurane', 'Nitrofurazone Topical', 'Cefixime (Suprax)', 'Phenol Topical', 'Cefprozil', 'Fluticasone', 'Molindone (Moban)', 'Phenylephrine Nasal']"
193,Fracture du doigt,"[« Douleurs à la main ou aux doigts », « Douleur à la poitrine ou aux orteils », « Gonflement à la main ou aux doigts », « Gonflement à la poitrine ou aux orteils », « Rigidité ou étanchéité à la main ou aux doigts »]","oxyde nitreux,","['Procédure d'imagerie radiographique', 'Plain x-ray (X ray)', 'Application de l'attelle (Splinting)', 'Gestion des soins de la plaie', 'Supuration de la plaie', 'Traction; attelles; et autres soins de la plaie', 'Exercices de thérapie physique']","['Cefazoline', 'Oxyde nitreux', 'Produit topique de la lidocaïne', 'Isoflurane (Terrell)', 'Perchlorate de potassium', 'Lecithine', 'Ephédrine (Kie)']"
194,Maladie de Hirschsprung,"['Constipation', 'Malheur à la cheville', 'vomiting', 'Sharp abdominal pain', 'Faible faiblesse', 'Faible faiblesse', 'Eye souche', 'Sentiment chaud et froid', 'Nailbiting', 'Faible faiblesse du dos', 'Symptômes émotionnels', 'Sous-poids']","La maladie d'Hirschsprung (HD) est un trouble de l'abdomen qui survient quand une partie ou la totalité du gros intestin ou des parties antérieures du tractus gastro-intestinal n'ont pas de nerfs et ne peuvent donc pas fonctionner. Pendant le développement normal du foetus, les cellules de la crête neurale migrent dans le gros intestin (colon) pour former les réseaux de nerfs appelés plexus d'Auerbach et plexus de Meissner. Dans la maladie d'Hirschprung, la migration n'est pas complète et une partie du côlon manque de ces corps nerveux qui régulent l'activité du côlon. Le segment touché du côlon ne peut pas se contracter et donc passer le selles dans le côlon, créant une obstruction. Dans la plupart des personnes touchées, le trouble affecte la partie du côlon qui est la plus proche de l'anus. Dans de rares cas, le manque de corps nerveux implique plus du côlon.","['Examen ectal', 'Excision (Exemption)', 'Autres interventions thérapeutiques non-OR de l'IG inférieure', 'Biopsy', 'Resection colorectale', 'Proctoscopie et biopsie anorectale', 'Transplantation cornéenne']","['Polyéthylène Glycol 3350 (Miralax)', 'Ranitidine', 'Nizatidine (Axid)', 'Siméthicone (Degas)', 'Bisacodyl (The Magic Bullet)', 'Metronidazole', 'Mecamylamine', 'Grepafloxacine (Raxar)', 'Malathion Topical', 'Gemtuzumab (Mylotarg)']"
195,Polymyalgie rhumatica,"['Fatigue', 'Shouder pain', 'Leg pain', 'Ache over', 'Sharp pectoral pain', 'Muscle pain', 'Hip pain', 'Heart beat' irrégulier, 'Leg faiblit', 'Stiffness over', 'Difficile à avaler', 'Temper problems']","Polymyalgia rheumatica (qui tire son nom du mot ""polymyalgia"" qui signifie ""douleur dans de nombreux muscles"" en grec suivi du terme ""rheumatica"") abrévié comme PMR, est un syndrome avec douleur ou raideur, généralement dans le cou, les épaules, et les hanches. La douleur peut être très soudaine, ou peut se produire progressivement sur une période. Il peut être causé par une condition inflammatoire des vaisseaux sanguins tels que l'artérite temporelle.","['Lipid panel', 'Mammographie (Mammographie)', 'Examination du sein', 'Bone Density scan', 'Rectal examen', 'Exercices de thérapie physique (Exercises)', 'Biopsy']","['Prednisone', 'Atenolol', 'Alendronate', 'Calcium Carbonate', 'Methotrexate', 'Carbidopa', 'Rituximab', 'Bumetanide', 'Raloxifène (Evista)', 'Latanoprost', 'Amiodarone', 'Tolterodine (Detrol)']"
196,Lymphœdème,"['Lésion cutanée', 'Gonflement de la jambe', 'Oedème périphérique', 'Gonflement de la jambe', 'Gonflement de la peau', 'Gonflement de la peau', 'Gonflement de la jambe ou du pied', 'Lymphée', 'Gonflement de la peau ou de l'orteil', 'Sèchement de la peau, pelage, écaillement ou rugosité', 'Massité du cou', 'Gonflement de la gorge']","Le lymphœdème (lymphœdème en anglais britannique), également connu sous le nom d'obstruction lymphatique, est une condition de rétention du liquide localisé et de gonflement tissulaire causé par un système lymphatique compromis. Le système lymphatique retourne le liquide interstitiel dans le canal thoracique, puis dans le flux sanguin, où il est recirculé vers les tissus. Les tissus avec lymphœdème sont à risque d'infection.","[«Gestion des soins de la plaie», «Examen physique complet de la peau effectué (LM)», «Traction; attelles; et autres soins de la plaie», «Exercices de thérapie physique (exercices)», «Débridation de la plaie; infection ou brûlure», «Examination du pied», «Referral to home health services»]","['Silver Sulfadiazine Topical', 'Torsemide', 'Bevacizumab (Avastin)', 'Silver Nitrate Topical Each', 'Desoximetasone Topical', 'Octréotide', 'Pentoxifylline', 'Miconazole Topical Product', 'Collagenase Topical', 'Metolazone']"
197,Cancer de la vessie,"[« Blood in urining », « Retention of urining », « Symptômes de la vessie », « Masse de la vésicule », « Excessive urination la nuit », « Masse de la graisse », « Masse de Kidney », « Rougeur du pénis », « Symptômes de la prostate », « Mass in scrotum », « Décharge du pénis », « Douleur pendant les rapports sexuels »]","bcg,","['Urinalyse', 'Endoscopie et biopsie endoscopique des voies urinaires', 'Tomographie calculée par rayons X (Scan ct)', 'Examen rectal', 'Mesure de l'antigène spécifique à la prostate (Test de l'antigène spécifique à la prostate)', 'Excision (Remove)', 'Biopsy']","['Tamsulosin (Flomax)', 'Bcg', 'Gemcitabine (Gemzar)', 'Finasteride (Propecia)', 'Cisplatine', 'Aprépitant (Emend)', 'Mitomycine', 'Paclitaxel (Taxol)', 'Felodipine', 'Pegfilgrastim (Neulasta)', 'Carboplatine', 'Palonosetron (Aloxi)']"
198,Bronchospasme aigu,"['Toux', 'Shortness of breath', 'Wheezing', 'Fever', 'Difficulty respiration', 'Nasal congestion', 'Sharp poitrine douleur', 'Soleil de gorge', 'Coryza', 'Vomiting', 'Headache', 'Chest pressure']",contraction spasmodique du muscle lisse des bronches.,"['Procédure d'imagerie radiographique', 'Plain x-ray (rayon X)', 'Nebulizer treaking', 'Electrocardiogramme', 'Cardiac enzymes measurement (Cardiac enzymes test)', 'Influenzavirus anticorps test', 'Cardiac monitoring (Cardiac monitor)']","['Albuterol', 'Ipratropium', 'Prednisolone', 'Combivent', 'Levalbuterol (Xopenex)', 'Oxyde nitrique', 'Arformoterol (Brovana)']"
199,Glaucome aigu,"['Vision diminuée', 'Pain dans les yeux', 'Symptômes de l'œil', 'Eye redness', 'Spots ou nuages dans la vision', 'Foreign corps sensation in eye', 'Itchiness of eye', 'Blindness', 'Lacrimation', 'Double vision', 'Eye brûle ou pique']","Le glaucome est un terme décrivant un groupe de troubles oculaires avec une étiologie multifactorielle unie par une neuropathie optique intraoculaire cliniquement caractéristique qui peut endommager de façon permanente la vision dans les yeux touchés et conduire à la cécité s'il n'est pas traité. Il est normalement associé à une augmentation de la pression hydrique dans les yeux (humour aqueux). Le terme « hypertension oculaire » est utilisé pour les personnes avec une pression intraoculaire constamment augmentée (POI) sans aucune lésion du nerf optique associée. Inversement, le terme \' tension normale\' ou \' basse tension\' glaucome est utilisé pour les personnes avec une lésion du nerf optique et une perte de champ visuel associée, mais normale ou faible PIO.","['Examen et évaluation ophtalmiques (examen Eye)', 'Autres procédures thérapeutiques sur paupières; conjonctive; cornée', 'Autres procédures thérapeutiques intraoculaires', 'Procédures diagnostiques à l'œil', 'Excision (Suppression)', 'Autres procédures thérapeutiques sur muscle extraoculaire et orbite', 'Lens et procédures de cataracte']","['Brimonidine Ophtalmic', 'Timolol', 'Latanoprost', 'Bimatoprost Ophtalmic', 'Prednisolone Ophtalmic', 'Travoprost (Travatan)', 'Pilocarpine Ophtalmic', 'Acétazolamide (Diamox)', 'Apraclonidine Ophtalmic', 'Dorzolamide Ophtalmic', 'Proparacaine Ophtalmic', 'Prednisolone']"
200,Blessure ouverte de la poitrine,"['Sharp mal à la poitrine', 'abus de drogue', 'enflure lip']","vaccin antitoxine diphtérique / vaccin antitoxine tétanique,","['Gestion des soins auditifs', 'Procédure d'imagerie radiographique', 'rayon X delain (rayon X)', 'Remplacement de liquide intraveineux', 'Examen physique complet de la peau (ML)', 'Electrocardiogramme', 'Tests de fonction de Kidney (Test de fonction de Kidney)']","['Tetanus Toxoïde Vaccin (Adacel)', 'Cefazolin', 'Ketorolac Ophtalmic Product', 'Codeine', 'Iohexol (Omnitaque)', 'Sodium Bicarbonate']"
201,Dislocation de la rotule,"['Gonflement du genou', 'Conservation des fluides', 'Problèmes pendant la grossesse', 'Rigidité du genou ou étanchéité']","La rotule (ou la rotule astucieuse, la subluxation de rotule, la rotule flottante ou la rotule flottante) est une condition dans laquelle la rotule, ou la rotule, se détache ou se déplace de son emplacement normal.","['Procédure d'imagerie radiographique', 'Plain x-ray (rayon X)', 'exercices de thérapie physique (exercices)', 'Application de l'attelle (Splinting)', 'imagerie par résonance magnétique (Mri)', 'Arthroscopie', 'Traitement; fracture ou dislocation des extrémités inférieures (autres que la hanche ou le fémur)']","['Propofol', 'Cefoxitin', 'Ketamine', 'Tetracycline', 'Thyroid (Usp) (Armour Thyroïde)']"
202,Sciatique,"['Malheur du dos', 'Malheur du dos', 'Malheur du dos faible', 'Malheur du cœur', 'Malheur du corps faible', 'Perte de sensation', 'Problèmes avec mouvement', 'Paresthésie', 'Faiblesse du sang', 'Crampes ou spasmes du dos', 'Crampes ou spasmes du sang', 'Crampes ou spasmes du sang', 'Une couleur inhabituelle ou une odeur d'urine']","La sciatique (/sa\xc9\xaa\xcb\x88\xc3\xa6t\xc9\xc9\xc9\x99/; névrite sciatique, névralgie sciatique ou radiculopathie lombaire) est un ensemble de symptômes, y compris la douleur qui peut être causée par la compression générale ou l'irritation d'une des cinq racines du nerf spinal qui donnent naissance à chaque nerf sciatique, ou par la compression ou l'irritation des nerfs gauche ou droit ou des deux nerfs sciatiques. Les symptômes comprennent la douleur du bas du dos, la douleur des fesses et la douleur, l'engourdissement ou la faiblesse dans diverses parties de la jambe et du pied.","['Procédure d'imagerie radiographique', 'rayon X delain (rayon X)', 'exercices de thérapie physique (exercices)', 'imagerie par résonance magnétique (Mri)', 'Autres thérapies physiques et réadaptation', 'Insertion du cathéter ou du stimulateur médullaire et injection dans le canal médullaire', 'Scan de densité osseuse']","['Cyclobenzaprine', 'Methocarbamol', 'Orphénadrine (Flexon)', 'Carisoprodol (Soma)', 'Metaxalone (Skelaxin)', 'Oxaprozin', 'Phendimetrazine', 'Hydrocortisone-Pramoxine Topical', 'Tolbutamide', 'Calcifediol', 'Alosetron (Lotronex)']"
203,Hypercalcémie,"[« Faiblesse », « Vertiges », « Perte de sensation », « Sensation de malaise », « faiblesse de la main ou du doigt », « Réaction allergique », « Crampes ou spasmes d'armes », « faiblesse focale », « Retention de l'urine », « illusions ou hallucinations », « ongles qui apparaissent irrégulièrement », « faiblesse de leg »]","L'hypercalcémie (anglais britannique) ou l'hypercalcémie (anglais américain) est un taux élevé de calcium (Ca+) dans le sang. (Plage normale: 9\xe2\x80\x9310.5 mg/dL ou 2.2\xe2\x80\x932,6 mmol/L). Il peut s'agir d'un résultat de laboratoire asymptomatique, mais parce qu'un taux élevé de calcium est souvent le signe d'autres maladies, un travail devrait être entrepris s'il persiste.","['Tests hématologiques (Test de sang)', 'Complète la numération sanguine (Cbc)', 'Mesure du glucose (Niveau de glucose)', 'Urinalyse', 'Electrolytes panel', 'Electrocardiogramme', 'Complète l'examen physique de la peau (ML)']","['Ergocalciferol', 'Acide zolédronique (Reclast)', 'Tacrolimus (Prograf)', 'Potassium Citrate', 'Ibandronate (Boniva)', 'Oxcarbazépine (Trileptal)', 'Donepezil (Aricept)', 'Estradiol', 'Mefloquine', 'Doxercalciferol (Hectorol)']"
204,Incontinence du stress,"['Urinations involontaires', 'Urinations fréquentes', 'Urinations douloureuses', 'Symptômes de la vessie', 'Blood in urining', 'Retention of urining', 'Suprapubic pain', 'Hot flashes', 'Pelvic pain', 'Urinations excessives la nuit', 'Poids de gain', 'Saignement intermenstruel']",L'incontinence du stress est une forme d'incontinence urinaire.,"['Examen du bassin', 'Urinalyse', 'Examination du sein', 'Examen physique complet de la peau effectué (LM)', 'Examen ectal', 'Mammographie (Mammographie)', 'Incontinence génito-urinaire']","['Tolterodine (Detrol)', 'Oxybutynin', 'Solifénacine (Vesicare)', 'Estrogens, conjugués (Usp) (Prémarin)', 'Darifenacine (Enablex)', 'Tamoxifen', 'Mesna', 'Flavoxate (Urispas)', 'Trospium (Sanctura)', 'Flutamide']"
205,Les varices,"['Lésion de peau', 'Lég douleur', 'Oedème périphérique', 'Ache partout', 'Lymphédème', 'Gonflement de sang', 'Crampes de sang ou spasmes', 'Peau sur la jambe ou le pied semble infectée', 'Gonflement de sang ou masse']","Les veines véreuses sont des veines qui se sont agrandies et tortueuses. Le terme désigne généralement les veines de la jambe, bien que les varices peuvent se produire ailleurs. Les veines ont des valves pour empêcher le sang de s'écouler à l'envers (écoulement rétrograde ou reflux). Les muscles des jambes pompent les veines pour ramener le sang au cœur (mécanisme de la pompe musculaire du veau), contre les effets de la gravité. Lorsque les veines deviennent varices, les folioles des valves ne se rencontrent plus correctement, et les valves ne fonctionnent pas (incompétence valvulaire). Cela permet au sang de s'écouler à l'envers et ils s'élargissent encore plus. Les veines varices sont les plus courantes dans les veines superficielles des jambes, qui sont sujettes à une pression élevée en position debout. En plus d'être un problème cosmétique, les varices peuvent être douloureuses, surtout en position debout.","['Gestion des soins de la plaie', 'Examen physique complet de la peau (LM)', 'Ultrasonographie (Ultrasound)', 'Traction; attelles; et autres soins de la plaie', 'Débridation de la plaie; infection ou brûlure', 'Application de l'attelle (Splinting)', 'Excision (Suppression)']","['Collagenase Topical', 'Mupirocin Topical', 'Petrolatum Topical', 'Silver Nitrate Topical Thermal Each', 'Collagen', 'Cellulose', 'Becaplermin Topical', 'Sodium Tetradecyl Sulfate (Sotradecol)', 'Cilostazol', 'Zinc Oxide Topical', 'Insulin Isophane (Humulin N)']"
206,Kyste rénal bénin,"['Side pain', 'Sharp abdominal pain', 'Symptômes des reins', 'Vomissements', 'Back pain', 'Low lomb pain', 'Inspiration involontaire', 'Symptômes des reins', 'Drainage dans la gorge', 'Impotence', 'Symptômes de la prostate', 'Atténuation diminuée']","Dans la PKD, les kystes prennent la place du tissu normal. Ils agrandissent les reins et les rendent mal fonctionner, ce qui entraîne une insuffisance rénale. Lorsque la PKD provoque des défaillances rénales\xe2\x80\x94 qui se produisent habituellement après de nombreuses années\xe2\x80\x94personnes ont besoin de dialyse ou de transplantation rénale. Environ la moitié des personnes avec le type le plus commun de PKD finissent par une insuffisance rénale. La PKD provoque également des kystes dans d'autres parties du corps, comme le foie. Les symptômes de la PKD incluent la douleur dans le dos et les parties inférieures des céphalées Douleurs cutanées Infections urinaires Le sang dans l'urine Les médecins diagnostiquent la PKD avec des tests d'imagerie et des antécédents familiaux.","['Procédure d'imagerie radiographique', 'Urinalyse', 'Tests hématologiques (Test de sang)', 'Tomographie calculée par rayons X (Scan ct)', 'Compléter la numération sanguine (Cbc)', 'Electrolytes panel', 'Remplacement de liquide intraveineux']","['Tamsulosin (Flomax)', 'Pioglitazone (Actos)', 'Glucosamine', 'Tolterodine (Detrol)', 'Glimépiride', 'Tiotropium (Spiriva)', 'Nystatine Topical Product', 'Lutropin Alfa (Luveris)', 'Pyridostigmine (Mestinon)', 'Pentosan Polysulfate Sodium (Elmiron)', 'Ciclopirox Topical']"
207,Hydrocèle du testicule,"['Gonflement du scrotum', 'Pain dans les testicules', 'Groin pain', 'Mass in scrotum', 'Lower abdominal pain', 'Retention de l'urine', 'Groin mass', 'Excessive urination la nuit', 'Blood in urine', 'Symptômes du scrotum et des testicules', 'Skin croissance', 'Impotence']",Accumulation de liquide séreux entre les couches de membrane (tunica vaginalis) couvrant le TESTIS dans le SCROTUM.,"['Procédure d'imagerie radiographique', 'Urinalyse', 'Examen physique complet de la peau effectué (ML)', 'Ultrasonographie (Ultrasound)', 'Examen rectal', 'Mesure de l'antigène spécifique à la prostate (Test de l'antigène spécifique à la prostate)', 'Excision (Suppression)']","['Siméthicone (Degas)', 'Protamines (Protamine)', 'Diazoxide', 'Flurbiprofen', 'Orlistat (Alli)', 'Lénalidomide (Revlimid)', 'Tetrahydrozoline Ophtalmic', 'Ciclopirox Topical', 'Methyldopa', 'Efavirenz', 'Amantadine']"
208,Maladie des disques dégénératifs,"['Malheur au dos', 'Malheur au dos faible', 'Malheur au cou', 'Malheur au cou', 'Malheur au cou', 'Malheur au cou', 'Malheur au cou', 'Malheur au cou', 'Malheur au cou', 'Malheur au cou', 'Malheur au cou', 'Malheur au feu', 'Malheur au bras', 'Malheur au bras', 'Malheur au bas du corps', 'Paresthésie', 'Malheur au dos']","La dégénérescence d'un ou de plusieurs disques intervertébraux de la colonne vertébrale, souvent appelée « maladie du disque dégénératif » (DDD) ou « trouble du disque dégénératif », est une condition qui peut être douloureuse et qui peut considérablement affecter la qualité de vie d'une personne. Bien que la dégénérescence du disque soit une partie normale du vieillissement et pour la plupart des gens n'est pas un problème, pour certaines personnes, un disque dégénéré peut causer une douleur chronique sévère si elle n'est pas traitée.","[«Procédure d'imagerie radiographique», «imagerie par résonance magnétique (Mri)», «exercices de thérapie physique (exercices)», «Insertion du cathéter ou du stimulateur médullaire et injection dans le canal médullaire», «Autres procédures thérapeutiques», «Autres procédures diagnostiques (entrevue; évaluation; consultation)», «Autres procédures thérapeutiques non-OR sur le système musculosquelettique»]","['Pregabaline (Lyrica)', 'Bupivacaine', 'Carisoprodol (Soma)', 'Tizanidine', 'Iohexol (Omnipaque)', 'Nabumetone', 'Iopamidol (Isovue)', 'Oxymorphone (Opana)', 'Diclofenac Topic Product', 'Chlorzoxazone', 'Tegaserod (Zelnorm)', 'Chhondroïtin']"
209,Hirsutisme,"[Les cheveux non désirés, les menstruations imprévisibles, l'acné ou les boutons, la fatigue, l'infertilité, l'apparence anormale de la peau, le gain de poids, les poils, les taupes de peau, les trop petits cheveux, le gros flux menstruel, l'apnée]","L'hirsutisme est la chevelure excessive sur les femmes dans les parties du corps où les cheveux terminaux ne se produisent pas normalement ou est minime - par exemple, une barbe ou des cheveux de poitrine. Il se réfère à un modèle masculin de cheveux du corps (coiffureandrogène) et il est donc principalement d'intérêt cosmétique et psychologique. L'hirsutisme est un signe médical plutôt qu'une maladie et peut être un signe d'une condition médicale plus grave, surtout si elle se développe bien après la puberté. La quantité et l'emplacement des cheveux est mesuré par un score Ferriman-Gallwey.","['Tests hématologiques (Test de sang)', 'Examen physique complet de la peau effectué (ML)', 'Mesure du glucose (Niveau de glucose)', 'Examen du sein', 'Mesure de l'hémoglobine A1c (Test de l'hémoglobine A1c)', 'Plaque lipide', 'Examen du bassin']","['Eflornithine Topical', 'Spironolactone', 'Ortho Cyclen', 'Hydroquinone Topical', 'Adapalene Topical', 'Tretinoin Topical', 'Modicon', 'Betaméthasone Topical Product', 'Doxepin Topical', 'L-méthylfolate']"
210,Déplacement du pied,"[« Douleurs de pied ou d'orteil », « Vomissements », « Douleurs de cheville », « faiblesse du genou », « faiblesse de la peau », « crampes ou spasmes de la peau », « souche de l'œil », « faiblesse du dos faible », « faiblesse du poignet », « sous-poids », « sensation de chaleur et de froid », « gonflement musculaire »]","la cortisone,","['Plain x-ray (rayon X)', 'Procédure d'imagerie radiographique', 'Application de l'attelle (Splinting)', 'Remplacement de liquide intraveineux', 'Tests de fonction Kidney (Test de fonction Kidney)', 'Suturation de la plaie', 'Electrocardiogramme']","['Zosyn', 'Cortisone', 'Pramipexole (Mirapex)', 'Gentamicine Ophtalmic', 'Amiodarone', 'Povidone Iodine Topical (Betadine)', 'Bupivacaine', 'Vancomycine', 'Diclofenac', 'Cefazolin', 'Celecoxib (Celebrex)']"
211,Hydronéphrose,"['Side pain', 'Sharp abdominal pain', 'Back pain', 'Nausée', 'Vomiting', 'Blood in urining', 'Soprapupic pain', 'Symptômes des reins', 'Lower abdominal pain', 'Lower body pain', 'Paine dans les testicules', 'Symptômes de la vessie']","Hydronéphrose \xe2\x80\x94 littéralement ""eau à l'intérieur du rein"" \xe2\x80\x94 fait référence à la distension et à la dilatation du bassin rénal et des calices, généralement causées par l'obstruction de la libre circulation des urines du rein. Non traitée, elle conduit à une atrophie progressive du rein.","['Procédure d'imagerie radiographique', 'Urinalyse', 'Tests hématologiques (Test de sang)', 'Complètement de la numération sanguine (Cbc)', 'Tomographie calculée par rayons X (Scan ct)', 'Remplacement de liquide intraveineux', 'Tests de fonction de Kidney (Test de fonction de Kidney)']","['Iohexol (Omnitaque)', 'Opium', 'Meropenem', 'Ephédrine (Kie)', 'Desflurane', 'Isosorbide Dinitrate', 'Chondroïtine', 'Prazosin', 'Erlotinib (Tarceva)', 'Pancrelipase (Pancrase)', 'Citrate de potassium']"
212,Diverticulose,"['Sharp abdominal pain', 'Sharp abdominal hémorragique', 'Constipation', 'Diarrhée', 'Blood in selles', 'Burning abdominal pain', 'Nausée', 'Vomissement', 'Lower abdominal pain', 'Melena', 'Upper abdominal pain', 'Heartburn']","La diverticulose, également connue sous le nom de « maladie diverticulaire », est la condition d'avoir la diverticule dans le côlon, qui sont des excréments de la muqueuse colonique et de la submucose par des faiblesses des couches musculaires dans la paroi du côlon. Ceux-ci sont plus fréquents dans le côlon sigmoïde, qui est un endroit courant pour augmenter la pression.","['Sigmoidoscopy or coloscopy', 'Complete sang compound (Cbc)', 'X-ray calculed tomography (Scan ct)', 'Colonoscopy and biopsy', 'Urinalyse', 'Glucose measurement (Glucose level)', 'Intravenous fluid remplacement']","['Midazolam (Versed)', 'Fentanyl', 'Meperidine (Demerol)', 'Metronidazole', 'Propofol', 'Psyllium', 'Diatrizoate', 'Lubiprostone (Amitiza)', 'Barium Sulfate', 'Methylcellulose (Citrucel)']"
213,Douleur après une opération,"[« Douleur abdominale sharp », « Douleur du dos », « Douleur thoracique sharp », « Mal de tête », « Nausea », « Vomissement », « Douleur du dos faible », « Douleur du dos », « Douleur du cou », « Douleur du cou », « Douleur du corps », « Douleur abdominale faible »]","La douleur est un sentiment désagréable souvent causé par des stimuli intenses ou dommageables, tels que frotter un orteil, brûler un doigt, mettre de l'alcool sur une coupe, et frapper le ""bonbon os"". La définition largement utilisée de l'Association internationale pour l'étude de la douleur indique: ""La douleur est une expérience sensorielle et émotionnelle désagréable associée à des lésions tissulaires réelles ou potentielles, ou décrite en termes de tels dommages.""","['Procédure d'imagerie radiographique', 'Tests hématologiques (Test de sang)', 'Complètement de la numération sanguine (Cbc)', 'Plain x-ray (rayon X)', 'Remplacement de liquide intraveineux', 'Tests de fonction de Kidney (Test de fonction de Kidney)', 'Urinalyse']","['Orphénadrine (Flexon)', 'Butorphanol (Stadol)', 'Dimenhydrinate (Dramamine)', 'Chlorzoxazone', 'Lipase', 'Methotrimeprazine', 'Vaccin contre la maladie de Lyme', 'Isoxsuprine']"
214,Maladie de Huntington,"['Constipation', 'Problèmes avec mouvement', 'Dépression', 'anxiété et nervosité', 'Malheur au dos', 'Perte de sensation', 'Malheur abdominale sévère', 'Malheur à la drogue', 'Symptômes du visage', 'Faible faiblesse d'Elbow', 'Faible faiblesse du dos', 'Croissance excessive']","La maladie de Huntington (HD) est un trouble génétique neurodégénératif qui affecte la coordination musculaire et conduit à un déclin cognitif et à des problèmes psychiatriques. Elle devient généralement perceptible au milieu de la vie des adultes. HD est la cause génétique la plus commune de mouvements anormaux involontaires de lyophilie appelé choréna, c'est pourquoi la maladie était appelée choréa de Huntington.","['CAT scan of head (Head ct)', 'X-ray calculed tomography (Scan ct)', 'Depression screen (Depression screen)', 'Magnetic résonance imagerie (Mri)', 'Mental health counseling', 'Prothrombin time test (Prothrombin time)', 'Corneal greffon']","['Quétiapine (Seroquel)', 'Memantine (Namenda)', 'Rispéridone', 'Sertraline (Zoloft)', 'Tetrabenazine', 'Rivastigmine (Exelon)', 'Atomoxétine (Strattera)', 'Tizanidine', 'Lactulose', 'Donepezil (Aricept)', 'Mirtazapine']"
215,Virus du Nil occidental,"['Paine dans les yeux', 'Crampes ou spasmes de soudeur', 'douleur faciale', 'douleur de cheville', 'douleur de poignet', 'douleur pendant la grossesse', 'Viande excessive', 'Rigidité ou oppression commune', 'douleur ou douleur du sein', 'Glisse ou masse de knee', 'Fatigue', 'Urination excessive la nuit']","Le virus du Nil occidental (WNV) est un arbovirus zoonotique transmis par les moustiques appartenant au genre Flavivirus de la famille des Flaviviridae. Ce virus est présent dans les régions tempérées et tropicales du monde. Il a été identifié pour la première fois dans la sous-région du Nil occidental de la nation d'Afrique de l'Est de l'Ouganda en 1937. Avant le milieu des années 1990, la maladie du VNO ne s'est produite que sporadiquement et a été considéré comme un risque mineur pour l'homme, jusqu'à une épidémie en Algérie en 1994, avec des cas d'encéphalite causée par le VNO, et la première grande épidémie en Roumanie en 1996, avec un grand nombre de cas de maladies neuro-invasives. Le VNO s'est maintenant répandu à l'échelle mondiale, le premier cas dans l'hémisphère occidental étant identifié à New York en 1999; au cours des cinq prochaines années, le virus s'est répandu à travers les États-Unis continentaux, au nord du Canada et au sud dans les îles des Caraïbes et en Amérique latine.","['Transgression cornéenne', 'Résection transuréthrale de la prostate (TURP) (Turp)', 'Thrombolyse coronaire', 'Contrôle de l'épistaxis', 'TCT scan abdominal (Ct of abdominal)', 'Procédures sur la rate (Operation de la rate)', 'Transplantation de moelle osseuse (Bmt)']","['Air', 'Mecamylamine', 'Troleandomycine', 'Indium Oxyquinoline In-111 (Indium In-111 Oxyquinoline)', 'Pipecuronium (Arduan)', 'Grepafloxacine (Raxar)', 'Rabbit Anti-Human T-Lymphocyte Globuline (Thymoglobuline)', 'Acide Iopanoïque', 'Estrogènes conjugués topiques', 'Malathion Topical', 'Gemtuzumab (Mylotarg)']"
216,Lymphome,"['Fatigue', 'Massure du cou', 'Regirgation', 'Voix larguée', 'Malheur musculaire', 'Mouth pain', 'Symptômes des reins', 'Mouth ulcère', 'Stiffness all over', 'Shouder grump or mass', 'Ecoute(s) démangeante(s)']","Le lymphome est un type de cancer du sang qui survient lorsque les lymphocytes B ou T, les globules blancs qui forment une partie du système immunitaire et aident à protéger l'organisme contre l'infection et la maladie, divisent plus rapidement que les cellules normales ou vivent plus longtemps qu'ils ne sont censés le faire. Le lymphome peut se développer dans les ganglions lymphatiques, la rate, la moelle osseuse, le sang ou d'autres organes et éventuellement ils forment une tumeur.","['Tests hématologiques (Test de sang)', 'Complete hémorragique (Cbc)', 'Glucose measurement (Glucose level)', 'Complete physical skin exestering (ML)', 'Electrolytes panel', 'X-ray calculed tomography (Scan ct)', 'Hémoglobine A1c measurement (Hémoglobine a1c test)']","['Rituximab', 'Doxorubicine', 'Cyclophosphamide', 'Vincristine', 'Dexaméthasone', 'Pegfilgrastim (Neulasta)', 'Filgrastim (Neupogen)', 'Palonosetron (Aloxi)', 'Acyclovir', 'Vinblastine', 'Darbepoetin Alfa (Aranesp)', 'Bleomycine']"
